ՏԸՀ N,տեղամաս N,total,part_11,part_14,part_17,part_20
Թիվ 8 ԸԸՀ,19,1764,109,240,385,526
Թիվ 8 ԸԸՀ,20,1818,74,213,357,477
Թիվ 8 ԸԸՀ,21,1891,117,277,413,535
Թիվ 8 ԸԸՀ,22,1800,108,218,322,410
Թիվ 8 ԸԸՀ,23,1894,95,232,375,495
Թիվ 8 ԸԸՀ,24,1744,115,250,353,476
Թիվ 8 ԸԸՀ,25,2051,148,295,433,548
Թիվ 8 ԸԸՀ,26,1861,112,266,404,527
Թիվ 8 ԸԸՀ,27,1780,110,275,400,542
Թիվ 8 ԸԸՀ,28,1718,106,309,463,601
Թիվ 8 ԸԸՀ,29,1768,109,257,392,519
Թիվ 8 ԸԸՀ,30,1879,124,286,471,624
Թիվ 8 ԸԸՀ,31,1818,120,261,430,556
Թիվ 8 ԸԸՀ,32,1712,88,206,310,416
Թիվ 8 ԸԸՀ,33,1752,100,238,341,473
Թիվ 8 ԸԸՀ,34,1353,70,177,270,381
Թիվ 8 ԸԸՀ,35,1297,72,174,257,356
Թիվ 8 ԸԸՀ,36,1604,102,202,263,340
Թիվ 8 ԸԸՀ,37,1756,80,171,252,340
Թիվ 8 ԸԸՀ,38,1500,107,242,330,435
Թիվ 8 ԸԸՀ,39,1775,85,177,303,452
Թիվ 8 ԸԸՀ,40,1644,76,175,257,341
Թիվ 8 ԸԸՀ,41,1576,82,155,251,382
Թիվ 8 ԸԸՀ,42,1815,112,222,323,422
Թիվ 8 ԸԸՀ,43,1813,118,245,368,481
Թիվ 8 ԸԸՀ,44,1821,78,201,275,370
Թիվ 8 ԸԸՀ,45,1499,78,183,264,372
Թիվ 8 ԸԸՀ,46,1834,110,231,314,416
Թիվ 8 ԸԸՀ,47,1750,86,226,305,426
Թիվ 8 ԸԸՀ,48,1703,73,195,297,429
Թիվ 8 ԸԸՀ,49,1853,86,240,355,496
Թիվ 8 ԸԸՀ,50,1871,105,249,383,488
Թիվ 8 ԸԸՀ,51,1858,99,227,333,453
Թիվ 8 ԸԸՀ,52,1832,141,261,383,513
Թիվ 8 ԸԸՀ,53,1814,131,272,423,605
Թիվ 8 ԸԸՀ,54,1879,140,263,413,551
Թիվ 8 ԸԸՀ,55,1729,84,186,305,430
Թիվ 8 ԸԸՀ,56,1999,107,217,342,496
Թիվ 8 ԸԸՀ,57,1846,107,271,397,521
Թիվ 8 ԸԸՀ,58,1485,75,158,233,314
Թիվ 8 ԸԸՀ,59,1774,83,171,270,399
Թիվ 8 ԸԸՀ,60,1715,136,224,312,432
Թիվ 8 ԸԸՀ,61,1691,88,167,252,378
Թիվ 8 ԸԸՀ,62,1981,84,175,238,314
Թիվ 8 ԸԸՀ,63,1908,88,173,254,356
,,,,,,
Ընդ.,63,110780,6584,14622,21945,29357
Թիվ 9 ԸԸՀ,1,1879,80,227,367,509
Թիվ 9 ԸԸՀ,2,1766,94,237,363,487
Թիվ 9 ԸԸՀ,3,1481,115,263,400,481
Թիվ 9 ԸԸՀ,4,1852,150,353,531,660
Թիվ 9 ԸԸՀ,5,1826,111,313,447,560
Թիվ 9 ԸԸՀ,6,1863,148,301,469,617
Թիվ 9 ԸԸՀ,7,1609,73,178,261,365
Թիվ 9 ԸԸՀ,8,1772,93,223,365,479
Թիվ 9 ԸԸՀ,9,1743,86,208,339,440
Թիվ 9 ԸԸՀ,10,1149,69,157,246,319
Թիվ 9 ԸԸՀ,11,1762,145,308,454,572
Թիվ 9 ԸԸՀ,12,1880,132,285,456,582
Թիվ 9 ԸԸՀ,13,1691,100,258,398,523
Թիվ 9 ԸԸՀ,14,1611,97,269,430,571
Թիվ 9 ԸԸՀ,15,1622,81,227,481,490
Թիվ 9 ԸԸՀ,16,2044,100,252,403,532
Թիվ 9 ԸԸՀ,17,1427,74,226,354,474
Թիվ 9 ԸԸՀ,18,1656,84,232,400,511
Թիվ 9 ԸԸՀ,19,1686,87,271,393,494
Թիվ 9 ԸԸՀ,20,957,63,138,213,286
Թիվ 9 ԸԸՀ,21,1833,85,257,430,567
Թիվ 9 ԸԸՀ,22,1987,82,289,488,618
Թիվ 9 ԸԸՀ,23,1649,70,245,428,583
Թիվ 9 ԸԸՀ,24,1799,100,286,481,663
Թիվ 9 ԸԸՀ,25,1921,96,290,474,628
Թիվ 9 ԸԸՀ,26,1894,97,296,488,626
Թիվ 9 ԸԸՀ,27,1925,75,209,365,470
Թիվ 9 ԸԸՀ,28,1731,81,210,344,427
Թիվ 9 ԸԸՀ,29,1441,71,182,302,382
Թիվ 9 ԸԸՀ,30,1671,74,211,329,459
Թիվ 9 ԸԸՀ,31,1781,90,284,467,605
Թիվ 9 ԸԸՀ,32,1932,90,289,433,580
Թիվ 9 ԸԸՀ,33,1855,90,206,323,460
Թիվ 9 ԸԸՀ,34,1700,100,260,413,544
Թիվ 9 ԸԸՀ,35,1801,130,291,443,611
Թիվ 9 ԸԸՀ,36,1852,98,265,424,559
Թիվ 9 ԸԸՀ,37,1930,114,285,459,608
Թիվ 9 ԸԸՀ,38,1798,110,285,423,589
Թիվ 9 ԸԸՀ,39,1612,74,231,361,469
Թիվ 9 ԸԸՀ,40,1729,98,304,498,639
Թիվ 9 ԸԸՀ,41,1974,113,335,555,718
Թիվ 9 ԸԸՀ,42,1885,102,325,514,679
Թիվ 9 ԸԸՀ,43,1873,76,257,498,589
Թիվ 9 ԸԸՀ,44,1531,70,204,331,453
Թիվ 9 ԸԸՀ,45,1963,93,277,492,621
Թիվ 9 ԸԸՀ,46,1613,55,198,339,438
Թիվ 9 ԸԸՀ,47,1923,72,261,462,600
Թիվ 9 ԸԸՀ,48,1587,51,240,411,533
Թիվ 9 ԸԸՀ,49,1355,52,190,332,449
Թիվ 9 ԸԸՀ,50,1527,73,266,432,533
Թիվ 9 ԸԸՀ,51,1885,112,336,524,664
Թիվ 9 ԸԸՀ,52,1815,79,281,473,571
Թիվ 9 ԸԸՀ,53,1914,143,332,496,595
Թիվ 9 ԸԸՀ,54,1897,145,324,456,624
Թիվ 9 ԸԸՀ,55,1940,119,267,394,526
Թիվ 9 ԸԸՀ,56,1943,85,186,260,358
Թիվ 9 ԸԸՀ,57,1895,98,192,261,358
Թիվ 9 ԸԸՀ,58,1918,81,244,390,544
Թիվ 9 ԸԸՀ,59,2060,98,305,471,635
Թիվ 9 ԸԸՀ,60,1974,64,211,358,501
,,,,,,
Ընդ.,60,105589,5588,15332,24592,32028
Թիվ 10 ԸԸՀ,1,1908,76,245,415,569
Թիվ 10 ԸԸՀ,2,1787,93,241,359,475
Թիվ 10 ԸԸՀ,3,1876,87,159,233,327
Թիվ 10 ԸԸՀ,4,1823,82,179,301,408
Թիվ 10 ԸԸՀ,5,1833,79,144,215,291
Թիվ 10 ԸԸՀ,6,1896,52,125,225,299
Թիվ 10 ԸԸՀ,7,1833,133,294,432,543
Թիվ 10 ԸԸՀ,8,1815,129,244,356,450
Թիվ 10 ԸԸՀ,9,1822,94,217,312,441
Թիվ 10 ԸԸՀ,10,1769,171,326,461,573
Թիվ 10 ԸԸՀ,11,1885,55,203,342,472
Թիվ 10 ԸԸՀ,12,1723,92,237,349,465
